ensembl,logFC,t,p.value,FDR,Result
ENSDARG00000088298,0.6195316490556926,5.953042418230262,2.3733460527293326e-6,3.6649704328913993e-4,1
ENSDARG00000087290,6.0699382424385,5.93150298715031,2.512389974065915e-6,3.8062438344395593e-4,1
ENSDARG00000096971,0.6032724916651402,5.531884409049167,7.268881270075236e-6,7.793389602450878e-4,1
ENSDARG00000076632,-1.245283693343629,-5.2390525435730915,1.5925377209066937e-5,0.0013125041020388484,-1
ENSDARG00000071086,-0.36555316912598546,-4.910786099557359,3.849201386315248e-5,0.0023356088824693358,-1
ENSDARG00000097839,1.066688607224192,4.868714156623624,4.31061624966534e-5,0.0025103541356758566,1
ENSDARG00000075445,-0.2504513345466979,-4.829769544657496,4.78689242490491e-5,0.0026844649188568484,-1
ENSDARG00000029838,1.000638977707569,4.725391771196961,6.339002213241529e-5,0.0032507549648103503,1
ENSDARG00000089833,-0.3775710122533784,-4.711735742591584,6.57618945837854e-5,0.0033122585476655585,-1
ENSDARG00000101407,-1.3781263434976263,-4.668739821528143,7.382349634446492e-5,0.003581091006263565,-1
ENSDARG00000014230,-0.21823296244538692,-4.607723313880434,8.69829546383444e-5,0.004019384792116709,-1
ENSDARG00000028786,-0.27745004637719317,-4.5828600784137326,9.299316634786747e-5,0.004186650861205714,-1
ENSDARG00000104826,0.4156271212331273,4.571483997248757,9.587931809377499e-5,0.004276561095603564,1
ENSDARG00000063594,0.6060216083847489,4.532576060837148,1.0644121490070199e-4,0.004584916750298962,1
ENSDARG00000035538,-0.2806406040450087,-4.49348488147377,1.1821823857264575e-4,0.004912660688095236,-1
ENSDARG00000037613,0.8630014689575676,4.451425509367676,1.3233942050219096e-4,0.005282694136696663,1
ENSDARG00000030139,-0.25833689852296704,-4.40050106150931,1.5169638373761942e-4,0.005762612554779395,-1
ENSDARG00000056008,-0.4380343396369728,-4.3997814846320225,1.5198913723494964e-4,0.005767901911592914,-1
ENSDARG00000044485,0.6085983085608011,4.384510899965913,1.5833577651241926e-4,0.005932168009239592,1
ENSDARG00000077567,-0.921079637793575,-4.257105615583334,2.2262508057299197e-4,0.007410705025604012,-1
ENSDARG00000092003,0.6879424130684151,4.242914723376961,2.3122215900137153e-4,0.0075815407261445806,1
ENSDARG00000089981,-0.294470914974295,-4.222136755030191,2.444057425522417e-4,0.007876348137524405,-1
ENSDARG00000096271,-0.7338232980497161,-4.2182043551200765,2.4698326262853273e-4,0.007935710586876147,-1
ENSDARG00000099442,-0.6047697025506209,-4.171544192059157,2.796972305410403e-4,0.008619138127639477,-1
ENSDARG00000102367,-0.33257373098345955,-4.157536052847653,2.903293773235737e-4,0.008817180032896171,-1
ENSDARG00000009106,-0.2687306728961172,-4.113880967947639,3.2609060270246467e-4,0.009500465199774303,-1
ENSDARG00000042940,-0.3821535867063828,-4.088790144361636,3.485772597534022e-4,0.009927229830996536,-1
ENSDARG00000038151,0.7495151023767878,4.062617414025294,3.73663686595417e-4,0.010373065809070502,1
ENSDARG00000019367,-0.5297366087193907,-4.044163290966194,3.924137222118773e-4,0.010717771302595245,-1
ENSDARG00000087474,-0.7449227987099165,-4.042372087563999,3.9428228092364695e-4,0.010748000909815087,-1
ENSDARG00000104839,0.3269109052138264,4.00640725556254,4.337108961468447e-4,0.011459713970549663,1
ENSDARG00000055912,-0.4154407726907525,-4.004684618011697,4.356939036065943e-4,0.011491345973142776,-1
ENSDARG00000069888,0.6779473380025514,4.000918543834178,4.4006035089112457e-4,0.011568268898770485,1
ENSDARG00000044812,-0.23803845974011484,-3.981884509923197,4.627963922746065e-4,0.0119565526912313,-1
ENSDARG00000076496,0.2885683658255447,3.9729363604088044,4.738806338025775e-4,0.0121509562467304,1
ENSDARG00000100264,0.48582283817354943,3.959539276212562,4.909658133675303e-4,0.012439838214337076,1
ENSDARG00000007737,-0.2583852821429806,-3.957089704919241,4.941546042812779e-4,0.01249520395083713,-1
ENSDARG00000058463,-0.29853099490051616,-3.9463922856497007,5.083206080644828e-4,0.012706154101003828,-1
ENSDARG00000105182,-0.33999085273454543,-3.9436801199208613,5.119751763361626e-4,0.0127642421181915,-1
ENSDARG00000089486,0.3260754306155187,3.9429071667638573,5.130214314511561e-4,0.012777711108973184,1
ENSDARG00000093448,-0.358695876336836,-3.9345668305765416,5.244453295136748e-4,0.012968084807595622,-1
ENSDARG00000007745,-0.20889746514589014,-3.9148776226070097,5.524151603254043e-4,0.01340926186396489,-1
ENSDARG00000069981,0.17879390083361457,3.894868881567014,5.823394516406855e-4,0.013879352579171311,1
ENSDARG00000100440,-0.34526580985233446,-3.8932601835450127,5.848133636821443e-4,0.013908294047488529,-1
ENSDARG00000051888,-0.2055455148316554,-3.891096728320256,5.881566801316541e-4,0.013959833173688886,-1
ENSDARG00000061691,-0.3668052100960062,-3.890192738893686,5.895592221328079e-4,0.013983713101992154,-1
ENSDARG00000042887,-0.2735746082810788,-3.8897629394975075,5.902272084466664e-4,0.013996419866048881,-1
ENSDARG00000008966,-0.19615266549301946,-3.8878322792794573,5.932369834330247e-4,0.014042618065283423,-1
ENSDARG00000012871,-0.18834358791306993,-3.8868232415520847,5.948159993123405e-4,0.01406740835383406,-1
ENSDARG00000075798,-0.29864424524565614,-3.884239593111271,5.98877915441468e-4,0.014119980632110368,-1
ENSDARG00000091833,-0.5899710079297775,-3.87619611420396,6.116987201013652e-4,0.014344860267826408,-1
ENSDARG00000017199,-0.39480086581808305,-3.8676266579383483,6.256543335495829e-4,0.014549054430311615,-1
ENSDARG00000003769,0.2946156191373599,3.8618671505783473,6.352089482849075e-4,0.01467459529191316,1
ENSDARG00000070148,0.20999979820692083,3.855814761334397,6.454037077187925e-4,0.014828031080811563,1
ENSDARG00000045666,-0.227190211245464,-3.8533904205246534,6.495321911630323e-4,0.01490205494791076,-1
ENSDARG00000096141,1.1911854253788217,3.8509895905458884,6.536461657564006e-4,0.014966130373426367,1
ENSDARG00000094860,-0.4533185757316849,-3.8450664475661718,6.639054779956186e-4,0.015121697988550164,-1
ENSDARG00000027547,-0.35335751039526064,-3.8447371599758857,6.644804390636854e-4,0.015126739598278439,-1
ENSDARG00000098451,-0.2900063748634647,-3.8320601998730215,6.869905305653166e-4,0.01542841933902439,-1
ENSDARG00000062226,0.2385619614937129,3.827785088295941,6.947490089724843e-4,0.015538355622421268,1
ENSDARG00000023999,-0.25624861575169966,-3.8241972774417206,7.013264155704513e-4,0.015632599041284105,-1
ENSDARG00000074906,0.3213068875889631,3.8206665274811673,7.078587943803029e-4,0.0157202588329302,1
ENSDARG00000096375,0.3935067400238115,3.808276475725582,7.312573823952059e-4,0.01603961420247186,1
ENSDARG00000055027,-0.4322825994712147,-3.8047620625007705,7.380312083209813e-4,0.01614349337491345,-1
ENSDARG00000105123,-0.3099697156210013,-3.786107120936427,7.750296915613933e-4,0.016691333655280232,-1
ENSDARG00000015474,-0.14744659006049154,-3.7844136261966392,7.784769849666901e-4,0.01672826085350343,-1
ENSDARG00000089888,-0.2919987030883471,-3.7805772338920756,7.863420094168114e-4,0.016830963616607162,-1
ENSDARG00000042261,-0.5112550123823221,-3.779127666292039,7.893339903333267e-4,0.01686600737507386,-1
ENSDARG00000057374,-0.23339783096510924,-3.7671376878272556,8.145130307116138e-4,0.017204291468571654,-1
ENSDARG00000045248,-0.27584229570433916,-3.7641796526020173,8.208448403355678e-4,0.017277661401092086,-1
ENSDARG00000104901,-0.36149295573265805,-3.762266562041706,8.249655247188083e-4,0.01732132971364955,-1
ENSDARG00000012247,0.9487021892468421,3.75572342367837,8.392126577747339e-4,0.017514478231148385,1
ENSDARG00000045273,0.3445472568953476,3.741802780268602,8.703292712342707e-4,0.017937478652362056,1
ENSDARG00000096961,-0.29647873292777716,-3.732454693426949,8.918553554725769e-4,0.01820561678758083,-1
ENSDARG00000069157,-0.2669590106914379,-3.7176372642277054,9.270467197504841e-4,0.018643469779064184,-1
ENSDARG00000079024,-0.28051766630736275,-3.713877964369339,9.361887528851316e-4,0.018756450661097573,-1
ENSDARG00000063358,-0.2911786295496608,-3.710004179551547,9.457013602797289e-4,0.018866716857936644,-1
ENSDARG00000061660,-0.2681769654663464,-3.7058746942005354,9.559458878892787e-4,0.018987849153828982,-1
ENSDARG00000058341,-2.9956612808273206,-3.7029929600878275,9.631591215636278e-4,0.019067145180452008,-1
ENSDARG00000077691,-0.4563787521854379,-3.695391879492141,9.82441366234731e-4,0.019309790166733228,-1
ENSDARG00000092553,-0.19670162955211445,-3.6885038088360336,0.0010002402036185284,0.019543467287171327,-1
ENSDARG00000087180,-0.19936487913197798,-3.672923919834009,0.0010416683661549494,0.020032138784032833,-1
ENSDARG00000014591,-0.20200183214959821,-3.6719033850321208,0.00104443975036459,0.0200613003875325,-1
ENSDARG00000043410,-0.49967832388185585,-3.671120178842912,0.0010465715205709761,0.020088933693064002,-1
ENSDARG00000009724,-0.22301707338949672,-3.66951374613766,0.0010509572885152871,0.020149361751112368,-1
ENSDARG00000069056,-0.16575380978819165,-3.6645459127095856,0.0010646339339620118,0.02033237541233135,-1
ENSDARG00000013292,-0.23171935945257616,-3.656540848616167,0.0010870384529868887,0.02060961805464096,-1
ENSDARG00000042839,-0.5410283595122032,-3.6472429884543307,0.001113639041407111,0.0209432220792222,-1
ENSDARG00000070083,-0.26068487555003905,-3.6438628421085406,0.0011234659468932254,0.021044878936578162,-1
ENSDARG00000038784,-0.26048608008234453,-3.638424543455754,0.0011394541631439277,0.02123832160829062,-1
ENSDARG00000012899,0.3419813705889454,3.635159427076052,0.0011491597517320718,0.021342353163183607,1
ENSDARG00000007216,-0.25287052875135974,-3.620207408827869,0.0011946442016510246,0.021871909810919504,-1
ENSDARG00000059337,0.28061278923010935,3.6161481814649896,0.001207292349254768,0.02202725706600656,1
ENSDARG00000074572,-0.2116674249554995,-3.610448653004133,0.0012252720047961447,0.02224217069929456,-1
ENSDARG00000003444,-0.32641363732479345,-3.591937010301124,0.0012854865883128407,0.02297924354740266,-1
ENSDARG00000091813,-0.436976878516663,-3.591416877055429,0.0012872194398708008,0.022993945909184313,-1
ENSDARG00000102362,-0.21182915993219886,-3.5895243872627,0.0012935435860146837,0.02305537133849019,-1
ENSDARG00000071562,0.38028309476398725,3.5888025674016686,0.0012959636583773253,0.02308061055804497,1
ENSDARG00000102825,-0.6977111924055439,-3.584686175528593,0.001309849327437638,0.023233468911851445,-1
ENSDARG00000024324,-0.14407000360052535,-3.58066526947579,0.00132355269803042,0.02338742018984114,-1
ENSDARG00000060126,-0.48809578171042656,-3.577047957076315,0.0013359997882268018,0.02351599627241128,-1
ENSDARG00000009447,-0.33584956042608294,-3.5712042029002657,0.0013563491028435101,0.023735997149182394,-1
