individualID,individualIdSource,species,genotypeBackground,room,litter,matingID,dateBirth,dateDeath,treatmentType,Genotype,Sex,Age,sample,lane
APOE4-16,NA,Mouse,C57BL/6,Mayo_GB436,10.25.2016,NA,10/25/2016,01/23/2017,NA,APOE4,female,3M,APOE_3M_1,L1
APOE2-15,NA,Mouse,C57BL/6,Mayo_GB436,08.25.2016,NA,08/25/2016,11/23/2016,NA,APOE2,female,3M,APOE_3M_2,L1
APOE2-9,NA,Mouse,C57BL/6,Mayo_GB436,08.25.2016,NA,08/25/2016,11/23/2016,NA,APOE2,female,3M,APOE_3M_3,L1
APOE3-4,NA,Mouse,C57BL/6,Mayo_GB436,11.08.2016,NA,11/08/2016,02/09/2017,NA,APOE3,male,3M,APOE_3M_4,L1
APOE3-8,NA,Mouse,C57BL/6,Mayo_GB436,09.14.2016,NA,09/14/2016,12/13/2016,NA,APOE3,male,3M,APOE_3M_5,L1
APOE4-7,NA,Mouse,C57BL/6,Mayo_GB436,10.05.0016,NA,10/05/0016,01/03/2017,NA,APOE4,male,3M,APOE_3M_6,L1
APOE4-2,NA,Mouse,C57BL/6,Mayo_GB436,10.25.2016,NA,10/25/2016,01/23/2017,NA,APOE4,male,3M,APOE_3M_7,L2
APOE4-6,NA,Mouse,C57BL/6,Mayo_GB436,10.25.2016,NA,10/25/2016,01/23/2017,NA,APOE4,male,3M,APOE_3M_8,L2
APOE2-3,NA,Mouse,C57BL/6,Mayo_GB436,10.27.2016,NA,10/27/2016,01/25/2017,NA,APOE2,male,3M,APOE_3M_9,L2
APOE3-1,NA,Mouse,C57BL/6,Mayo_GB436,08.25.2016,NA,08/25/2016,11/23/2016,NA,APOE3,male,3M,APOE_3M_10,L2
APOE3-3,NA,Mouse,C57BL/6,Mayo_GB436,11.08.2016,NA,11/08/2016,02/09/2017,NA,APOE3,male,3M,APOE_3M_11,L2
APOE3-16,NA,Mouse,C57BL/6,Mayo_GB436,11.08.2016,NA,11/08/2016,02/09/2017,NA,APOE3,female,3M,APOE_3M_12,L2
APOE4-14,NA,Mouse,C57BL/6,Mayo_GB436,01.10.2017,NA,01/10/2017,04/03/2017,NA,APOE4,female,3M,APOE_3M_13,L3
APOE3-14,NA,Mouse,C57BL/6,Mayo_GB436,09.14.2016,NA,09/14/2016,12/13/2016,NA,APOE3,female,3M,APOE_3M_14,L3
APOE3-6,NA,Mouse,C57BL/6,Mayo_GB436,11.08.2016,NA,11/08/2016,02/09/2017,NA,APOE3,male,3M,APOE_3M_15,L3
APOE3-9,NA,Mouse,C57BL/6,Mayo_GB436,08.25.2016,NA,08/25/2016,11/23/2016,NA,APOE3,female,3M,APOE_3M_16,L3
APOE4-8,NA,Mouse,C57BL/6,Mayo_GB436,10.05.0016,NA,10/05/0016,01/03/2017,NA,APOE4,male,3M,APOE_3M_17,L3
APOE2-1,NA,Mouse,C57BL/6,Mayo_GB436,08.25.2016,NA,08/25/2016,11/23/2016,NA,APOE2,male,3M,APOE_3M_18,L3
APOE4-4,NA,Mouse,C57BL/6,Mayo_GB436,10.25.2016,NA,10/25/2016,01/23/2017,NA,APOE4,male,3M,APOE_3M_19,L4
APOE4-5,NA,Mouse,C57BL/6,Mayo_GB436,10.25.2016,NA,10/25/2016,01/23/2017,NA,APOE4,male,3M,APOE_3M_20,L4
APOE4-10,NA,Mouse,C57BL/6,Mayo_GB436,09.08.2016,NA,09/08/2016,12/07/2016,NA,APOE4,female,3M,APOE_3M_21,L4
APOE2-8,NA,Mouse,C57BL/6,Mayo_GB436,09.07.2016,NA,09/07/2016,12/06/2016,NA,APOE2,male,3M,APOE_3M_22,L4
APOE3-11,NA,Mouse,C57BL/6,Mayo_GB436,08.25.2016,NA,08/25/2016,11/23/2016,NA,APOE3,female,3M,APOE_3M_23,L4
APOE2-10,NA,Mouse,C57BL/6,Mayo_GB436,10.27.2016,NA,10/27/2016,01/25/2017,NA,APOE2,female,3M,APOE_3M_24,L4
APOE3-2,NA,Mouse,C57BL/6,Mayo_GB436,11.08.2016,NA,11/08/2016,02/09/2017,NA,APOE3,male,3M,APOE_3M_25,L5
APOE3-15,NA,Mouse,C57BL/6,Mayo_GB436,09.14.2016,NA,09/14/2016,12/13/2016,NA,APOE3,female,3M,APOE_3M_26,L5
APOE2-7,NA,Mouse,C57BL/6,Mayo_GB436,09.07.2016,NA,09/07/2016,12/06/2016,NA,APOE2,male,3M,APOE_3M_27,L5
APOE2-14,NA,Mouse,C57BL/6,Mayo_GB436,08.25.2016,NA,08/25/2016,11/23/2016,NA,APOE2,female,3M,APOE_3M_28,L5
APOE2-5,NA,Mouse,C57BL/6,Mayo_GB436,09.07.2016,NA,09/07/2016,12/06/2016,NA,APOE2,male,3M,APOE_3M_29,L5
APOE4-1,NA,Mouse,C57BL/6,Mayo_GB436,08.15.2016,NA,08/15/2016,11/11/2016,NA,APOE4,male,3M,APOE_3M_30,L5
APOE4-11,NA,Mouse,C57BL/6,Mayo_GB436,01.10.2017,NA,01/10/2017,04/03/2017,NA,APOE4,female,3M,APOE_3M_31,L6
APOE2-4,NA,Mouse,C57BL/6,Mayo_GB436,09.07.2016,NA,09/07/2016,12/06/2016,NA,APOE2,male,3M,APOE_3M_32,L6
APOE2-2,NA,Mouse,C57BL/6,Mayo_GB436,10.27.2016,NA,10/27/2016,01/25/2017,NA,APOE2,male,3M,APOE_3M_33,L6
APOE4-15,NA,Mouse,C57BL/6,Mayo_GB436,01.10.2017,NA,01/10/2017,04/03/2017,NA,APOE4,female,3M,APOE_3M_34,L6
APOE2-12,NA,Mouse,C57BL/6,Mayo_GB436,10.27.2016,NA,10/27/2016,01/25/2017,NA,APOE2,female,3M,APOE_3M_35,L6
APOE3-10,NA,Mouse,C57BL/6,Mayo_GB436,08.25.2016,NA,08/25/2016,11/23/2016,NA,APOE3,female,3M,APOE_3M_36,L6
APOE4-13,NA,Mouse,C57BL/6,Mayo_GB436,01.10.2017,NA,01/10/2017,04/03/2017,NA,APOE4,female,3M,APOE_3M_37,L7
APOE4-3,NA,Mouse,C57BL/6,Mayo_GB436,10.25.2016,NA,10/25/2016,01/23/2017,NA,APOE4,male,3M,APOE_3M_38,L7
APOE2-11,NA,Mouse,C57BL/6,Mayo_GB436,10.27.2016,NA,10/27/2016,01/25/2017,NA,APOE2,female,3M,APOE_3M_39,L7
APOE2-13,NA,Mouse,C57BL/6,Mayo_GB436,10.27.2016,NA,10/27/2016,01/25/2017,NA,APOE2,female,3M,APOE_3M_40,L7
APOE2-16,NA,Mouse,C57BL/6,Mayo_GB436,08.02.2016,NA,08/02/2016,11/03/2016,NA,APOE2,female,3M,APOE_3M_41,L7
APOE4-9,NA,Mouse,C57BL/6,Mayo_GB436,08.15.2016,NA,08/15/2016,11/11/2016,NA,APOE4,female,3M,APOE_3M_42,L7
