"individualID","individualIdSource","species","sex","genotype","genotypeBackground","room","litter","matingID","dateBirth","dateDeath","treatmentType","age"
"S-60",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-13",NA,"09/07/2016","12/06/2016",NA,"24M"
"S-61",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-11",NA,"09/07/2016","12/06/2016",NA,"24M"
"S-62",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-31",NA,"09/07/2016","12/06/2016",NA,"3M"
"S-63",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-8",NA,"08/25/2016","11/23/2016",NA,"3M"
"S-64",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-10",NA,"10/27/2016","01/25/2017",NA,"12M"
"S-65",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-9",NA,"10/27/2016","01/25/2017",NA,"12M"
"S-66",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-11",NA,"10/27/2016","01/25/2017",NA,"12M"
"S-67",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-14",NA,"10/27/2016","01/25/2017",NA,"24M"
"S-68",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-26",NA,"08/25/2016","11/23/2016",NA,"3M"
"S-69",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-2",NA,"08/25/2016","11/23/2016",NA,"3M"
"S-70",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-9",NA,"08/25/2016","11/23/2016",NA,"12M"
"S-71",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-31",NA,"11/08/2016","02/09/2017",NA,"3M"
"S-72",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-9",NA,"11/08/2016","02/09/2017",NA,"3M"
"S-73",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-22",NA,"11/08/2016","02/09/2017",NA,"3M"
"S-74",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-24",NA,"11/08/2016","02/09/2017",NA,"3M"
"S-75",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-14",NA,"11/08/2016","02/09/2017",NA,"12M"
"S-76",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-23",NA,"09/14/2016","12/13/2016",NA,"3M"
"S-77",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-5",NA,"09/14/2016","12/13/2016",NA,"12M"
"S-78",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-6",NA,"08/25/2016","11/23/2016",NA,"24M"
"S-79",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-16",NA,"08/25/2016","11/23/2016",NA,"12M"
"S-80",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-16",NA,"08/25/2016","11/23/2016",NA,"12M"
"S-81",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-9",NA,"09/14/2016","12/13/2016",NA,"24M"
"S-82",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-27",NA,"09/14/2016","12/13/2016",NA,"3M"
"S-83",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-15",NA,"09/14/2016","12/13/2016",NA,"24M"
"S-84",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-13",NA,"11/08/2016","02/09/2017",NA,"12M"
"S-85",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-5",NA,"08/15/2016","11/11/2016",NA,"12M"
"S-86",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-14",NA,"10/25/2016","01/23/2017",NA,"12M"
"S-87",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-7",NA,"10/25/2016","01/23/2017",NA,"24M"
"S-88",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-6",NA,"10/25/2016","01/23/2017",NA,"12M"
"S-89",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-16",NA,"10/25/2016","01/23/2017",NA,"24M"
"S-90",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-5",NA,"10/05/0016","01/03/2017",NA,"24M"
"S-91",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-14",NA,"10/05/0016","01/03/2017",NA,"3M"
"S-92",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-35",NA,"08/15/2016","11/11/2016",NA,"3M"
"S-93",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-6",NA,"09/08/2016","12/07/2016",NA,"24M"
"S-94",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-17",NA,"01/10/2017","04/03/2017",NA,"3M"
"S-95",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-16",NA,"01/10/2017","04/03/2017",NA,"24M"
"S-96",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-16",NA,"01/10/2017","04/03/2017",NA,"3M"
"S-97",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-15",NA,"01/10/2017","04/03/2017",NA,"24M"
"S-98",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-15",NA,"01/10/2017","04/03/2017",NA,"12M"
"S-99",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-14",NA,"10/25/2016","01/23/2017",NA,"24M"
"S-100",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-7",NA,"42546","42922",NA,"12M"
"S-101",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-14",NA,"42546","42922",NA,"12M"
"S-102",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-8",NA,"42546","42922",NA,"12M"
"S-103",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-8",NA,"42546","42922",NA,"12M"
"S-104",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-7",NA,"42546","42922",NA,"12M"
"S-105",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-8",NA,"42546","42922",NA,"12M"
"S-106",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-18",NA,"42546","42922",NA,"3M"
"S-107",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-7",NA,"42546","42922",NA,"12M"
"S-108",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-13",NA,"42546","42922",NA,"12M"
"S-109",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-6",NA,"42546","42922",NA,"12M"
"S-110",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-5",NA,"42595","42964",NA,"24M"
"S-111",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-20",NA,"42595","42964",NA,"3M"
"S-112",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-17",NA,"42595","42964",NA,"24M"
"S-113",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-34",NA,"42588","42964",NA,"3M"
"S-114",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-18",NA,"42588","42964",NA,"24M"
"S-115",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-8",NA,"42588","42964",NA,"24M"
"S-116",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-33",NA,"42588","42964",NA,"3M"
"S-117",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-17",NA,"42588","42964",NA,"24M"
"S-118",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","12M-apoE4-15",NA,"42588","42964",NA,"12M"
"S-119",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-6",NA,"42588","42964",NA,"12M"
"S-120",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-17",NA,"42588","42965",NA,"24M"
"S-121",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-14",NA,"42588","42965",NA,"3M"
"S-122",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-15",NA,"42588","42965",NA,"12M"
"S-123",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-8",NA,"42636","43000",NA,"24M"
"S-124",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-27",NA,"42636","43000",NA,"3M"
"S-125",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-15",NA,"42636","43000",NA,"24M"
"S-126",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-16",NA,"42636","43000",NA,"12M"
"S-127",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-13",NA,"42636","43000",NA,"24M"
"S-128",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-21",NA,"42559","42927",NA,"3M"
"S-129",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-28",NA,"42559","42927",NA,"3M"
"S-130",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-24",NA,"42559","42927",NA,"3M"
"S-131",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-21",NA,"42559","42927",NA,"3M"
"S-132",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-7",NA,"42559","42927",NA,"24M"
"S-133",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","24M-apoE4-10",NA,"42559","42927",NA,"24M"
"S-134",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-11",NA,"42559","42927",NA,"3M"
"S-135",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","24M-apoE2-16",NA,"42559","42927",NA,"24M"
"S-136",NA,"Mouse","male","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-32",NA,"42559","42927",NA,"3M"
"S-137",NA,"Mouse","female","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-23",NA,"42559","42927",NA,"3M"
"S-138",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-8",NA,"42559","42927",NA,"24M"
"S-139",NA,"Mouse","female","ApoE4","C57BL/6","Mayo_GB436","3M-apoE4-13",NA,"42559","42927",NA,"3M"
"S-140",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","24M-apoE3-7",NA,"42559","42927",NA,"24M"
"S-141",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","12M-apoE2-5",NA,"42559","42927",NA,"12M"
"S-142",NA,"Mouse","female","ApoE3","C57BL/6","Mayo_GB436","3M-apoE3-28",NA,"42244","42965",NA,"3M"
"S-143",NA,"Mouse","male","ApoE3","C57BL/6","Mayo_GB436","12M-apoE3-13",NA,"42170","42916",NA,"12M"
"S-144",NA,"Mouse","male","ApoE2","C57BL/6","Mayo_GB436","3M-apoE2-15",NA,"42170","42916",NA,"3M"
